POSITION NUMBER,NUMBER OF POSITIONS APPROVED,NUMBER OF POSITIONS FILLED,POSITIONS RECRUITED THEMSELVES,MINIMUM AGE REQUIRED,AGE GROUP PREFERRED,ZIP CODE,PARTS OF CITY,WILL YOU BE WORKING OUTSIDE,DRESS CODE,YOUTH WORKING WITH COMPUTERS,CAREER INTEREST FOR POSITION,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,,,,,,,,,,,,,,,,,,,,,,,
289,27,16,26,16,16-21,21244,WEST,NO,NO,NO,"CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
290,5,1,2,16,16-21,21215,WEST,YES,YES,YES,"PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
BUSINESS/FINANCE,
CLERICAL OFFICE WORK,",MICROSOFT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
291,8,0,1,16,16-21,21229,WEST,NO,NO,NO,"CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
292,5,2,2,16,16-21,21212,EAST,NO,YES,NO,"VISUAL ARTS,
BUSINESS/FINANCE,
COMMUNITY SERVICE,
CONSTRUCTION/MANUFACTURING,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
293,7,2,7,14,14-15,21215,WEST,NO,NO,NO,"TEACHER'S AIDE,
GOVERNMENT/PUBLIC SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
294,9,0,6,14,14-15,21229,WEST,NO,NO,NO,"TEACHER'S AIDE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
295,8,2,7,14,14-21,21216,WEST,YES,NO,NO,"TEACHER'S AIDE,
ENVIRONMENTAL/GREEN,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
296,1,0,1,14,14-15,20912,SOUTH,NO,YES,NO,"PRE-SCHOOL CHILDCARE,
GOVERNMENT/PUBLIC SERVICE,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
297,15,13,10,14,14-15,21216,WEST,NO,YES,YES,"PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
COMPUTER INFORMATION TECH,
STEM,
CLERICAL OFFICE WORK,
HOSPITALITY/TRAVEL,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
298,1,0,1,16,16-17,21220,EAST,NO,NO,NO,"ENVIRONMENTAL/GREEN,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
299,10,1,3,15,16-17,21216,WEST,NO,YES,YES,"CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
300,9,6,1,16,16-17,21205,EAST,NO,YES,YES,"MUSICAL ARTS,
PRE-SCHOOL CHILDCARE,
TEACHER'S AIDE,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
301,11,0,2,16,16-21,21201,DOWNTOWN,NO,YES,YES,"PRE-SCHOOL CHILDCARE,
COMMUNICATION/MEDIA,
RETAIL (16+ YEAR OLD ONLY),
ARCHITECTURE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
302,2,1,2,16,16-17,21203,DOWNTOWN,NO,NO,NO,"GOVERNMENT/PUBLIC SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
303,6,3,0,17,16-21,21215,WEST,NO,YES,YES,"MUSICAL ARTS,
TEACHER'S AIDE,
BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
COMMUNICATION/MEDIA,
STEM,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
304,12,1,4,14,14-21,21216,WEST,NO,NO,YES,"TEACHER'S AIDE,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
305,14,7,14,16,16-17,21213,EAST,NO,YES,YES,"CAMP COUNSELOR,
CULINARY ARTS/FOOD SERVICE,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
306,1,0,0,14,14-15,21230,SOUTH,YES,NO,NO,"ENVIRONMENTAL/GREEN,
CULINARY ARTS/FOOD SERVICE,
CUSTODIAL,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
307,8,2,7,14,14-21,21215,WEST,NO,NO,NO,"BUSINESS/FINANCE,
COMMUNICATION/MEDIA,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
308,1,0,0,14,14-21,21226,SOUTH,NO,NO,YES,"COMPUTER INFORMATION TECH,
CUSTODIAL,
STEM,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
309,1,0,1,18,18-21,21163,WEST,NO,NO,NO,"RECREATION AND SPORTS,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
310,8,2,8,16,16-17,21229,WEST,YES,NO,NO,"RECREATION AND SPORTS,
CAMP COUNSELOR,
COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
311,10,4,8,16,16-21,21229,WEST,NO,NO,NO,"CAMP COUNSELOR,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
312,16,4,14,16,16-21,21217,WEST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
313,5,3,0,16,16-21,21212,EAST,NO,YES,NO,"PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,
CUSTODIAL,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
314,19,4,18,15,16-17,21228,SOUTH,YES,NO,NO,"RECREATION AND SPORTS,
CAMP COUNSELOR,
STEM,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
315,7,0,2,14,14-21,21215,WEST,NO,NO,NO,"MUSICAL ARTS,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
316,3,2,1,15,16-17,21205,EAST,NO,NO,YES,"MUSICAL ARTS,
RECREATION AND SPORTS,
ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
CUSTODIAL,
CONSTRUCTION/MANUFACTURING,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
317,11,0,11,18,18-21,21206,EAST,NO,NO,YES,"ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
STEM,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
318,2,1,2,14,14-15,21201,DOWNTOWN,NO,NO,NO,"COMMUNICATION/MEDIA,
HOSPITALITY/TRAVEL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
319,6,1,0,16,16-21,21229,WEST,NO,YES,NO,"GOVERNMENT/PUBLIC SERVICE,
STEM,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
320,4,0,3,18,18-21,20705,SOUTH,NO,NO,NO,"CAMP COUNSELOR,
BUSINESS/FINANCE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
321,13,6,4,16,16-21,21216,WEST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
COMMUNITY SERVICE,
CUSTODIAL,
COMMUNICATION/MEDIA,",SWIMMING,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
322,15,0,1,16,16-17,21217,WEST,NO,NO,NO,"CAMP COUNSELOR,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
323,7,1,4,16,16-17,21201,DOWNTOWN,YES,NO,NO,"PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
GOVERNMENT/PUBLIC SERVICE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
324,14,3,0,18,18-21,21229,WEST,YES,NO,NO,"MUSICAL ARTS,
RECREATION AND SPORTS,
COMMUNITY SERVICE,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
325,5,0,1,16,16-21,21210,NORTH,NO,NO,YES,"PRE-SCHOOL CHILDCARE,
BUSINESS/FINANCE,
COMPUTER INFORMATION TECH,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
326,1,0,0,14,14-21,21163,WEST,NO,YES,YES,"PRE-SCHOOL CHILDCARE,
BUSINESS/FINANCE,
COMPUTER INFORMATION TECH,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
327,4,1,3,18,18-21,21230,SOUTH,NO,NO,YES,"VISUAL ARTS,
TEACHER'S AIDE,
CAMP COUNSELOR,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
328,5,3,3,14,14-21,21204,EAST,YES,YES,YES,"RECREATION AND SPORTS,
TEACHER'S AIDE,
CAMP COUNSELOR,
CULINARY ARTS/FOOD SERVICE,
CUSTODIAL,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
329,4,0,0,16,16-21,21215,WEST,NO,YES,YES,"PRE-SCHOOL CHILDCARE,
COMPUTER INFORMATION TECH,
CLERICAL OFFICE WORK,
RETAIL (16+ YEAR OLD ONLY),
ARCHITECTURE,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
330,8,1,7,16,16-21,21201,DOWNTOWN,NO,YES,NO,"VISUAL ARTS,
ENVIRONMENTAL/GREEN,
CLERICAL OFFICE WORK,","VISUAL ARTS, OFFICE EQUIPMENT, MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
331,10,6,8,16,16-21,21215,WEST,YES,NO,YES,"CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
GOVERNMENT/PUBLIC SERVICE,
COMPUTER INFORMATION TECH,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
332,10,3,7,14,14-21,21201,DOWNTOWN,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
BUSINESS/FINANCE,
COMMUNITY SERVICE,
COMMUNICATION/MEDIA,
RETAIL (16+ YEAR OLD ONLY),",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
333,1,0,1,16,16-17,21163,WEST,NO,NO,NO,"VISUAL ARTS,
ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,
CULINARY ARTS/FOOD SERVICE,
COMMUNICATION/MEDIA,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
334,8,1,7,18,18-21,21216,WEST,NO,NO,NO,"MUSICAL ARTS,
RECREATION AND SPORTS,
BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
335,7,1,6,14,14-15,21224,EAST,NO,YES,NO,"BUSINESS/FINANCE,
NURSING,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
336,16,2,4,14,14-15,21217,WEST,NO,NO,NO,"GRAPHIC DESIGN,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
337,6,0,1,16,16-17,21205,EAST,NO,NO,NO,"CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
338,11,9,6,14,14-21,21223,WEST,YES,NO,YES,"COMPUTER INFORMATION TECH,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
339,9,1,3,16,16-21,21229,WEST,NO,NO,NO,"TEACHER'S AIDE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
340,1,0,0,14,14-21,21204,EAST,NO,NO,NO,"BUSINESS/FINANCE,
NURSING,
COMMUNITY SERVICE,
CUSTODIAL,
HOSPITALITY/TRAVEL,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
341,11,4,1,18,18-21,21206,EAST,YES,NO,NO,"ENVIRONMENTAL/GREEN,
CUSTODIAL,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
342,7,2,6,18,18-21,21215,WEST,NO,YES,NO,"RECREATION AND SPORTS,
BUSINESS/FINANCE,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
343,8,5,3,16,16-21,21224,EAST,YES,NO,YES,"PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,
CULINARY ARTS/FOOD SERVICE,
COMPUTER INFORMATION TECH,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
344,4,0,4,16,16-17,21215,WEST,NO,NO,NO,"RECREATION AND SPORTS,
COMMUNITY SERVICE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
345,15,0,7,14,14-15,21217,WEST,NO,NO,NO,"CAMP COUNSELOR,
COMMUNITY SERVICE,
CUSTODIAL,
COMMUNICATION/MEDIA,
STEM,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
346,5,1,0,16,16-17,21216,WEST,NO,NO,YES,"VISUAL ARTS,
PRE-SCHOOL CHILDCARE,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
347,12,1,8,16,16-21,21229,WEST,NO,YES,YES,"VISUAL ARTS,
BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,
COMPUTER INFORMATION TECH,
CONSTRUCTION/MANUFACTURING,
COMMUNICATION/MEDIA,
STEM,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
348,1,0,0,14,14-15,21203,DOWNTOWN,NO,NO,NO,"VISUAL ARTS,
COMMUNITY SERVICE,
CUSTODIAL,
COMMUNICATION/MEDIA,",VISUAL ARTS,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
349,23,13,18,19,18-21,21209,NORTH,NO,YES,YES,"PRE-SCHOOL CHILDCARE,
COMMUNITY SERVICE,
CLERICAL OFFICE WORK,
HOSPITALITY/TRAVEL,
ELDERLY SERVICES,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
350,10,2,9,14,14-15,21229,WEST,YES,NO,NO,"VISUAL ARTS,
RECREATION AND SPORTS,
CULINARY ARTS/FOOD SERVICE,
STEM,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
351,2,1,1,14,14-15,21203,DOWNTOWN,NO,NO,YES,"MUSICAL ARTS,
BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
COMPUTER INFORMATION TECH,
CUSTODIAL,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
352,1,0,0,15,16-17,21163,WEST,YES,NO,NO,"RECREATION AND SPORTS,
ENVIRONMENTAL/GREEN,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
353,9,4,4,14,14-21,21216,WEST,NO,YES,YES,"PRE-SCHOOL CHILDCARE,
CLERICAL OFFICE WORK,
ELECTRICAL/CARPENTRY,",OFFICE EQUIPMENT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
354,1,0,1,18,18-21,21203,DOWNTOWN,NO,NO,NO,"BUSINESS/FINANCE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
355,7,2,3,14,14-15,21205,EAST,NO,NO,NO,"CAMP COUNSELOR,
GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,
GRAPHIC DESIGN,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
356,2,0,1,16,16-17,21229,WEST,NO,NO,NO,"TEACHER'S AIDE,
CAMP COUNSELOR,
CUSTODIAL,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
357,6,4,4,14,14-15,21216,WEST,NO,NO,NO,"TEACHER'S AIDE,
GRAPHIC DESIGN,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
358,10,4,7,16,16-21,21201,DOWNTOWN,YES,YES,YES,"RECREATION AND SPORTS,
ENVIRONMENTAL/GREEN,
GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,
HOSPITALITY/TRAVEL,
GRAPHIC DESIGN,",MICROSOFT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
359,7,0,2,14,14-15,21216,WEST,NO,NO,YES,"ENVIRONMENTAL/GREEN,
COMPUTER INFORMATION TECH,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
